start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name,project_name
1763683200,1763769600,2025-11-21T00:00:00+00:00,2025-11-22T00:00:00+00:00,8.33566738,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,0.026069999999999996,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,,,,,,,
1763942400,1764028800,2025-11-24T00:00:00+00:00,2025-11-25T00:00:00+00:00,9.864397689999999,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,16.41162199,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1764115200,1764201600,2025-11-26T00:00:00+00:00,2025-11-27T00:00:00+00:00,8.88509746,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1764201600,1764288000,2025-11-27T00:00:00+00:00,2025-11-28T00:00:00+00:00,10.12461757,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1764288000,1764374400,2025-11-28T00:00:00+00:00,2025-11-29T00:00:00+00:00,3.245610970000001,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1764374400,1764460800,2025-11-29T00:00:00+00:00,2025-11-30T00:00:00+00:00,,,,,,,
1764460800,1764547200,2025-11-30T00:00:00+00:00,2025-12-01T00:00:00+00:00,0.00651186,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
